,Player,Span,Matches,Innings,NO,Runs,HS,AVG,Balls Faced,Strike Rate,100,50,0,4's,6's
1576,Karweng NG (PHI),2019-2019,4,3,0,21,14,7.00,30,70.00,0,0,0,0,1
1577,C Mahoney (Peru),2019-2019,3,1,0,21,21,21.00,27,77.77,0,0,0,1,0
1578,Mohammad Sami (PAK),2010-2016,13,4,3,21,8,21.00,30,70.00,0,0,0,2,0
1579,Munim Shahriar (BAN),2022-2022,2,2,0,21,17,10.50,28,75.00,0,0,0,4,0
1580,S Murari (CRC),2019-2019,3,3,1,21,16,10.50,20,105.00,0,0,0,2,0
1581,Rony Talukdar (BAN),2015-2015,1,1,0,21,21,21.00,22,95.45,0,0,0,0,1
1582,Sayed Monib (KUW),2020-2021,7,3,1,21,11,10.50,13,161.53,0,0,0,1,2
1583,Shoaib Akhtar (PAK),2006-2010,15,6,3,21,8*,7.00,16,131.25,0,0,1,2,1
1584,SJS Smith (SCOT),2010-2012,5,4,1,21,9,7.00,40,52.50,0,0,1,1,0
1585,DW Steyn (SA),2007-2020,47,12,6,21,5*,3.50,26,80.76,0,0,2,2,0
1586,SF Tiai (Samoa),2019-2019,4,3,0,21,11,7.00,22,95.45,0,0,1,2,0
1587,S Udhayan (SEY),2021-2021,5,4,1,21,13,7.00,16,131.25,0,0,1,3,1
1588,N Ahir (PNM),2021-2021,5,3,1,20,20*,10.00,57,35.08,0,0,2,3,0
1589,Ainool Haqqiem (MAL),2019-2019,4,2,1,20,12,20.00,20,100.00,0,0,0,1,0
1590,Azmatullah Omarzai (AFG),2022-2022,2,1,0,20,20,20.00,18,111.11,0,0,0,2,1
1591,RL Bhudia (KENYA),2007-2007,3,3,1,20,11*,10.00,20,100.00,0,0,1,0,2
1592,KK Flowers (Blz),2019-2019,3,3,1,20,17,10.00,33,60.60,0,0,1,3,0
1593,MS Graham (Bhm),2021-2021,6,6,1,20,8,4.00,38,52.63,0,0,0,1,0
1594,Z Groenewald (NAM),2019-2019,10,4,1,20,13,6.66,35,57.14,0,0,0,0,0
1595,DL Hemp (BMUDA),2008-2008,2,2,0,20,20,10.00,32,62.50,0,0,1,2,1
1596,R Heyns (LUX),2020-2020,2,1,0,20,20,20.00,16,125.00,0,0,0,3,1
1597,Humayun Kabir (SWE),2021-2021,3,3,1,20,11*,10.00,29,68.96,0,0,0,1,0
1598,K Irakoze (RWN),2021-2021,11,6,2,20,8,5.00,24,83.33,0,0,1,1,0
1599,Naiem Bameri (Iran),2020-2020,3,3,0,20,10,6.66,57,35.08,0,0,0,0,0
1600,MJ North (AUS),2009-2009,1,1,0,20,20,20.00,21,95.23,0,0,0,1,0
1601,Rubel Hossain (BAN),2009-2021,28,15,10,20,8*,4.00,36,55.55,0,0,4,1,0
1602,JRMVB Sanjaya (SL),2017-2017,8,5,2,20,6,6.66,18,111.11,0,0,0,3,0
1603,S Sreesanth (INDIA),2006-2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0
1604,H Srinivasan (GER),2019-2021,8,3,1,20,15*,10.00,37,54.05,0,0,0,0,0
1605,A Uniyal (Chile),2019-2019,3,3,1,20,16*,10.00,23,86.95,0,0,0,2,0
1606,LV van Beek (NED),2014-2021,10,6,2,20,11,5.00,28,71.42,0,0,0,0,0
1607,JDF Vandersay (SL),2015-2022,14,8,7,20,8*,20.00,20,100.00,0,0,0,3,0
1608,C Waiswa (UGA),2019-2021,10,2,1,20,14*,20.00,14,142.85,0,0,0,1,1
1609,Abdul Rashid (Belg),2019-2021,2,2,0,19,10,9.50,36,52.77,0,0,0,0,1
1610,Ali Raza (EST),2021-2021,3,3,2,19,17*,19.00,17,111.76,0,0,1,1,1
1611,JC Archer (ENG),2019-2021,12,2,1,19,18*,19.00,10,190.00,0,0,0,2,1
1612,Bilal Ahmed (SRB),2019-2019,1,1,0,19,19,19.00,28,67.85,0,0,0,1,1
1613,CJ Dala (SA),2018-2021,10,4,3,19,12*,19.00,28,67.85,0,0,0,1,0
1614,P Danci (ROM),2019-2020,4,3,1,19,12,9.50,26,73.07,0,0,0,3,0
1615,Fahad Tariq (UAE),2016-2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1
1616,Faisal Mehmood (Belg),2021-2021,3,3,0,19,18,6.33,22,86.36,0,0,1,1,1
1617,Imran Tahir (SA/World),2013-2019,38,4,3,19,9*,19.00,18,105.55,0,0,0,1,1
1618,Irfan Mir (Chile),2019-2019,4,3,2,19,18*,19.00,7,271.42,0,0,1,0,2
1619,Jaspreet Singh (ITA),2019-2021,11,4,0,19,11,4.75,27,70.37,0,0,2,1,0
1620,Junaid Sheikh (NOR),2019-2019,5,3,0,19,9,6.33,20,95.00,0,0,0,1,1
1621,A Kirschbaum (Arg),2021-2021,6,6,1,19,10*,3.80,34,55.88,0,0,2,1,0
1622,HGJM Kulatunga (SL),2008-2008,2,2,0,19,11,9.50,38,50.00,0,0,0,0,0
1623,CJ McKay (AUS),2010-2013,6,4,2,19,7,9.50,22,86.36,0,0,1,1,1
1624,Mohammad Ahsan (KUW),2019-2019,6,3,0,19,8,6.33,20,95.00,0,0,0,0,1
1625,KV Morea (PNG),2021-2022,8,6,3,19,6*,6.33,18,105.55,0,0,1,1,1
1626,Muktar Ali (BAN),2016-2016,1,1,1,19,19*,-,15,126.66,0,0,0,1,1
1627,F Nsubuga (UGA),2019-2022,23,6,1,19,9,3.80,20,95.00,0,0,2,0,2
1628,AE Paraam (SGP),2019-2019,3,2,1,19,10,19.00,10,190.00,0,0,0,2,1
1629,HV Patel (INDIA),2021-2022,8,2,1,19,18,19.00,12,158.33,0,0,0,2,1
1630,AM Phangiso (SA),2012-2018,16,3,0,19,13,6.33,29,65.51,0,0,0,1,0
1631,RLB Rambukwella (SL),2013-2016,2,1,0,19,19,19.00,16,118.75,0,0,0,1,1
1632,RM Scott (USA),2021-2021,2,2,0,19,11,9.50,19,100.00,0,0,0,3,0
1633,Shaheen Shah Afridi (PAK),2018-2022,40,5,3,19,10*,9.50,20,95.00,0,0,1,1,1
1634,Sufyan Mehmood (OMA),2015-2020,4,2,1,19,13*,19.00,41,46.34,0,0,0,2,0
1635,MB Tambe (Fin),2021-2021,4,4,3,19,11*,19.00,17,111.76,0,0,0,1,0
1636,KOK Williams (WI),2016-2020,26,7,4,19,13*,6.33,17,111.76,0,0,1,1,1
1637,N Yordanov (BUL),2019-2019,2,2,1,19,19*,19.00,11,172.72,0,0,1,0,2
1638,KS Airee (NEPAL),2021-2022,10,3,0,18,13,6.00,18,100.00,0,0,0,1,1
1639,JD Baker (Samoa),2019-2019,4,3,3,18,11*,-,14,128.57,0,0,0,3,0
1640,V Baskaran (SGP),2019-2020,13,5,3,18,14*,9.00,23,78.26,0,0,1,0,0
1641,TL Chatara (ZIM),2010-2021,30,5,1,18,8,4.50,27,66.66,0,0,2,1,0
1642,SS Cottrell (WI),2014-2022,41,10,6,18,4*,4.50,29,62.06,0,0,1,2,0
1643,LHD Dilhara (SL),2008-2008,2,1,1,18,18*,-,9,200.00,0,0,0,0,1
1644,XJ Doherty (AUS),2012-2013,11,4,3,18,9*,18.00,17,105.88,0,0,0,1,0
1645,E Haven (Bhm),2021-2022,8,6,1,18,6,3.60,72,25.00,0,0,1,0,0
1646,BE Hendricks (SA),2014-2021,19,5,2,18,12*,6.00,23,78.26,0,0,1,0,1
1647,Khurram Chohan (CAN),2010-2010,4,4,2,18,8,9.00,14,128.57,0,0,0,1,1
1648,SW Masakadza (ZIM),2010-2013,7,5,1,18,9,4.50,24,75.00,0,0,1,1,0
1649,Nauman Anwar (PAK),2015-2015,1,1,0,18,18,18.00,10,180.00,0,0,0,2,1
1650,Naved-ul-Hasan (PAK),2006-2010,4,2,1,18,17*,18.00,16,112.50,0,0,0,0,2
1651,Nazmul Islam (BAN),2018-2018,13,4,3,18,7,18.00,17,105.88,0,0,0,2,0
1652,E Ochieng (KENYA),2019-2021,8,4,1,18,16*,6.00,20,90.00,0,0,2,1,1
1653,P Suanchuai (THAI),2020-2020,4,4,1,18,13*,6.00,36,50.00,0,0,1,0,1
1654,Raza Hasan (PAK),2012-2014,10,4,4,18,13*,-,25,72.00,0,0,0,2,0
1655,S Snater (NED),2018-2019,13,6,1,18,10,3.60,16,112.50,0,0,2,0,1
1656,Syazrul Idrus (MAL),2019-2022,13,5,1,18,9*,4.50,23,78.26,0,0,2,1,1
1657,M Theekshana (SL),2021-2022,15,5,2,18,7*,6.00,12,150.00,0,0,1,1,1
1658,S Thuraisingam (CAN),2008-2008,3,2,1,18,15,18.00,24,75.00,0,0,0,1,0
1659,DV Varghese (BUL),2020-2021,13,4,3,18,9*,18.00,23,78.26,0,0,0,1,0
1660,Vimal Kumar (PHI),2019-2022,4,2,1,18,15*,18.00,36,50.00,0,0,0,0,0
1661,JW Wilson (NZ),2005-2005,1,1,0,18,18,18.00,14,128.57,0,0,0,2,0
1662,Zahid Abbas (KENYA),2021-2021,4,3,0,18,9,6.00,21,85.71,0,0,0,1,0
1663,SA Abbott (AUS),2014-2022,8,3,1,17,12*,8.50,17,100.00,0,0,1,1,1
1664,Ahsan Khan (BUL),2021-2021,4,2,1,17,16*,17.00,12,141.66,0,0,0,1,0
1665,Ashiqullah Said (Belg),2019-2021,12,6,2,17,9,4.25,16,106.25,0,0,1,2,0
1666,Awais Malik (QAT),2019-2020,18,7,0,17,9,2.42,27,62.96,0,0,3,1,0
1667,Azmat Ali (GER),2021-2021,2,1,0,17,17,17.00,20,85.00,0,0,0,0,1
1668,TL Best (WI),2013-2014,6,1,1,17,17*,-,9,188.88,0,0,0,0,2
1669,D Bishoo (WI),2011-2019,7,4,2,17,8,8.50,29,58.62,0,0,1,2,0
1670,R Davson (Bhm),2021-2022,6,5,1,17,7,4.25,32,53.12,0,0,0,0,0
1671,A Djorovic (SRB),2019-2021,6,5,3,17,9,8.50,36,47.22,0,0,0,1,0
1672,RR Emrit (WI),2018-2018,4,3,0,17,11,5.66,27,62.96,0,0,0,0,1
1673,K Gilham (CZK-R),2020-2021,7,4,4,17,10*,-,18,94.44,0,0,0,1,0
1674,H Hiri (PNG),2016-2021,6,5,0,17,8,3.40,30,56.66,0,0,0,1,0
1675,HA Jackson (Fran),2021-2021,4,4,1,17,8,5.66,28,60.71,0,0,0,1,0
1676,Khurram Shahzad (QAT),2020-2020,7,5,1,17,10,4.25,29,58.62,0,0,0,2,0
1677,S Kizilkaya (TKY),2019-2019,4,4,0,17,8,4.25,28,60.71,0,0,1,3,0
1678,L Louwrens (NAM),2019-2019,1,1,1,17,17*,-,15,113.33,0,0,0,1,1
1679,ZE Matsinhe (MOZ),2019-2021,11,6,2,17,6*,4.25,26,65.38,0,0,1,0,1
1680,JH Mensah (Ghana),2019-2019,2,2,0,17,16,8.50,10,170.00,0,0,0,1,1
1681,B Muzarabani (ZIM),2018-2021,21,9,5,17,8,4.25,26,65.38,0,0,2,3,0
1682,LN Onyango (KENYA),2007-2010,5,4,2,17,5,8.50,21,80.95,0,0,0,0,0
1683,TK Patel (USA),2019-2019,7,3,3,17,14*,-,18,94.44,0,0,0,1,0
1684,K Pierre (WI),2018-2020,10,5,3,17,9*,8.50,23,73.91,0,0,0,2,0
1685,Shafraz Jaleel (Mald),2019-2019,4,3,0,17,17,5.66,14,121.42,0,0,2,1,1
1686,S Singh (KENYA),2021-2021,5,1,0,17,17,17.00,17,100.00,0,0,0,2,0
1687,JR Singleton (),2019-2019,3,3,0,17,7,5.66,26,65.38,0,0,0,3,0
1688,T Singye (BHU),2019-2019,2,2,0,17,11,8.50,25,68.00,0,0,0,2,0
1689,C Smith (IOM),2021-2021,4,2,0,17,13,8.50,15,113.33,0,0,0,1,1
1690,I Tchakou (CAM),2021-2021,4,4,0,17,14,4.25,40,42.50,0,0,0,1,0
1691,Usman Ali (Saudi),2019-2020,8,3,1,17,8,8.50,25,68.00,0,0,0,1,0
1692,Zain ul Tashnam (CRC),2019-2019,3,2,1,17,11,17.00,26,65.38,0,0,0,1,0
1693,Sarfraz Butt (Saudi),2020-2021,7,2,0,17,16,8.50,23,73.91,0,0,0,2,0
1694,Abdullah Sheikh (NOR),2019-2022,5,4,1,16,11,5.33,25,64.00,0,0,0,1,0
1695,IKO Aboagye (Ghana),2019-2019,4,4,0,16,7,4.00,37,43.24,0,0,1,0,0
1696,P Arrighi (Arg),2019-2019,5,4,0,16,11,4.00,46,34.78,0,0,1,0,0
1697,Imran Asif (Aut),2021-2021,3,3,0,16,10,5.33,12,133.33,0,0,0,2,0
1698,RR Behera (USA),2021-2021,2,2,0,16,16,8.00,27,59.25,0,0,1,1,0
1699,KK Bishnoi (),2019-2019,3,2,1,16,14,16.00,18,88.88,0,0,0,1,0
1700,M Chauhan (Fin),2019-2019,2,2,0,16,15,8.00,8,200.00,0,0,0,0,2
1701,SDJJ Dima (MOZ),2019-2021,8,5,0,16,9,3.20,36,44.44,0,0,1,0,0
1702,U Dorji (BHU),2019-2019,2,2,0,16,8,8.00,17,94.11,0,0,0,2,0
1703,CJ Ferguson (AUS),2009-2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0
1704,M Fru (CAM),2021-2021,4,4,0,16,13,4.00,31,51.61,0,0,1,1,0
1705,S Gajjar (CZK-R),2020-2020,3,3,1,16,14,8.00,22,72.72,0,0,1,1,0
1706,LF Goncalves (),2019-2019,3,2,0,16,13,8.00,21,76.19,0,0,0,1,0
1707,EH Hutchinson (USA),2019-2021,4,1,0,16,16,16.00,8,200.00,0,0,0,3,0
1708,WJ Lubbe (SA),2021-2021,2,2,0,16,12,8.00,10,160.00,0,0,0,4,0
1709,SSB Magala (SA),2021-2021,4,2,1,16,9*,16.00,13,123.07,0,0,0,0,2
1710,Mehrab Hossain jnr (BAN),2008-2009,2,2,1,16,10,16.00,25,64.00,0,0,0,1,0
1711,K Modise (BOT),2019-2019,3,3,0,16,10,5.33,16,100.00,0,0,1,2,1
1712,FJ Mpegna (CAM),2021-2021,4,4,2,16,8*,8.00,25,64.00,0,0,0,2,1
1713,Muhammad Asjed (ESP),2019-2021,3,2,0,16,9,8.00,16,100.00,0,0,0,2,0
1714,D Ravu (PNG),2019-2021,20,6,1,16,6,3.20,18,88.88,0,0,1,2,0
1715,JB Reva (PNG),2015-2019,9,4,0,16,7,4.00,22,72.72,0,0,0,1,1
1716,KW Richardson (AUS),2014-2022,30,5,2,16,9,5.33,15,106.66,0,0,1,0,0
1717,BJ Rohrer (AUS),2013-2013,1,1,0,16,16,16.00,14,114.28,0,0,0,0,1
1718,BV Save (MAL),2020-2020,2,2,0,16,9,8.00,17,94.11,0,0,0,3,0
1719,EHSN Silva (UAE),2014-2014,2,2,1,16,13*,16.00,22,72.72,0,0,0,1,0
1720,P Taylor (CZK-R),2019-2021,11,3,1,16,7*,8.00,16,100.00,0,0,0,1,0
1721,Vikramjit Singh (NED),2019-2021,2,2,0,16,15,8.00,18,88.88,0,0,0,1,0
1722,Zain Ul Abidin (Saudi),2021-2021,4,3,1,16,12*,8.00,18,88.88,0,0,0,1,0
1723,Aamer Yamin (PAK),2015-2018,2,1,1,15,15*,-,6,250.00,0,0,0,1,1
1724,Abdul Majid (BHR),2020-2021,6,3,2,15,12,15.00,13,115.38,0,0,0,2,0
1725,Aftab Ahmed (2) (DEN),2019-2021,4,3,0,15,10,5.00,27,55.55,0,0,0,1,0
1726,AB Agarkar (INDIA),2006-2007,4,2,0,15,14,7.50,11,136.36,0,0,0,2,0
1727,Aanand Pandey (LUX),2021-2021,3,1,0,15,15,15.00,13,115.38,0,0,0,1,0
1728,Anowarul Islam (THAI),2019-2019,4,4,0,15,9,3.75,20,75.00,0,0,1,1,1
1729,NW Bracken (AUS),2006-2009,19,6,3,15,4*,5.00,22,68.18,0,0,1,1,0
1730,K Christie (HKG),2019-2019,11,4,2,15,11*,7.50,20,75.00,0,0,0,0,0
1731,GL Cloete (SA),2018-2019,2,2,0,15,13,7.50,15,100.00,0,0,0,2,0
1732,N Dutta (CAN),2019-2019,11,3,2,15,12,15.00,13,115.38,0,0,0,1,0
1733,KR Ebanks (Caym),2019-2019,5,4,0,15,8,3.75,27,55.55,0,0,1,1,0
1734,LH Ferguson (NZ),2017-2021,15,2,0,15,14,7.50,11,136.36,0,0,0,0,2
1735,Ghulam Ahmadi (GER),2021-2022,18,5,4,15,11*,15.00,14,107.14,0,0,0,1,0
1736,Hamed Khan (HKG),2020-2020,3,3,0,15,10,5.00,19,78.94,0,0,1,2,0
1737,RJ Hatchman (GIBR),2019-2021,5,3,0,15,12,5.00,17,88.23,0,0,1,1,0
1738,Huzaifa Mohammed (PHI),2022-2022,5,3,3,15,11*,-,26,57.69,0,0,0,0,0
1739,Junaid Siddique (UAE),2019-2022,21,7,3,15,10*,3.75,21,71.42,0,0,2,0,1
1740,E Katchay (CAN),2008-2008,4,3,2,15,8*,15.00,25,60.00,0,0,1,0,0
1741,AC Kose (TKY),2019-2019,4,4,0,15,15,3.75,33,45.45,0,0,3,3,0
1742,N Mapunda (TAN),2021-2021,7,2,1,15,15,15.00,21,71.42,0,0,0,2,0
1743,K Mishara (SL),2022-2022,3,3,0,15,13,5.00,19,78.94,0,0,0,2,0
1744,N Nankov (BUL),2019-2021,5,3,1,15,14,7.50,25,60.00,0,0,0,1,0
1745,Nasrulla Rana (HKG),2019-2020,11,6,2,15,7,3.75,26,57.69,0,0,3,0,0
1746,D Nath (NEPAL),2022-2022,4,3,1,15,15*,7.50,11,136.36,0,0,2,3,0
1747,LA Pomersbach (AUS),2007-2007,1,1,0,15,15,15.00,7,214.28,0,0,0,1,1
1748,RW Price (ZIM),2008-2012,16,9,4,15,7*,3.00,28,53.57,0,0,1,1,0
1749,R Rampaul (WI),2007-2021,27,7,5,15,8,7.50,29,51.72,0,0,0,0,0
1750,N Rana (INDIA),2021-2021,2,2,0,15,9,7.50,27,55.55,0,0,0,0,0
1751,Rizwan Mangera (PNM),2021-2021,4,4,1,15,9,5.00,37,40.54,0,0,0,2,0
1752,S Sengupta (CZK-R),2021-2021,4,2,0,15,9,7.50,12,125.00,0,0,0,2,0
1753,Shabir Noori (AFG),2012-2012,1,1,0,15,15,15.00,18,83.33,0,0,0,1,0
1754,Shoaib Ali (Saudi),2019-2020,8,3,0,15,9,5.00,21,71.42,0,0,1,2,0
1755,Shoriful Islam (BAN),2021-2022,19,9,4,15,6,3.00,17,88.23,0,0,3,2,1
1756,J Smits (NED),2008-2009,6,2,1,15,11*,15.00,27,55.55,0,0,0,0,0
1757,AO Suji (KENYA),2007-2010,8,5,2,15,7,5.00,29,51.72,0,0,0,0,0
1758,MK Tiwary (INDIA),2011-2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0
1759,Usama Master (MWI),2019-2019,6,2,0,15,15,7.50,13,115.38,0,0,1,1,0
1760,VB van Jaarsveld (SA),2009-2009,3,3,0,15,12,5.00,23,65.21,0,0,1,0,0
1761,B Yadav (NEPAL),2022-2022,5,2,0,15,8,7.50,23,65.21,0,0,0,1,0
1762,Abul Hasan (BAN),2012-2018,5,2,0,14,9,7.00,11,127.27,0,0,0,2,0
1763,Ansh Tandon (UAE),2020-2020,1,1,0,14,14,14.00,9,155.55,0,0,0,3,0
1764,PRP Boissevain (NED),2019-2021,7,3,1,14,7*,7.00,19,73.68,0,0,1,1,0
1765,SG Borthwick (ENG),2011-2011,1,1,0,14,14,14.00,16,87.50,0,0,0,2,0
1766,G Dutta (Mex),2019-2019,7,6,0,14,8,2.33,28,50.00,0,0,3,1,0
1767,ST Finn (ENG),2011-2015,21,3,3,14,8*,-,19,73.68,0,0,0,1,0
1768,Ibrahim Zadran (AFG),2019-2019,3,3,0,14,11,4.66,26,53.84,0,0,0,0,1
1769,B Jagroo (Bhm),2021-2022,9,4,3,14,5*,14.00,17,82.35,0,0,1,1,0
1770,P Jayeshbhai Patel (PNM),2019-2019,2,2,1,14,8*,14.00,11,127.27,0,0,0,0,0
1771,T Langa (VAN),2019-2019,1,1,0,14,14,14.00,9,155.55,0,0,0,2,0
1772,CJ Langford (IOM),2020-2021,4,2,1,14,8,14.00,13,107.69,0,0,0,1,0
1773,WJ Malinda (Mald),2019-2021,6,5,1,14,10*,3.50,22,63.63,0,0,1,0,1
1774,JAH Marshall (NZ),2005-2008,3,2,0,14,13,7.00,15,93.33,0,0,0,2,0
1775,AN Petersen (SA),2010-2010,2,2,0,14,8,7.00,19,73.68,0,0,0,1,0
1776,VD Philander (SA),2007-2007,7,4,0,14,6,3.50,28,50.00,0,0,0,0,0
1777,S Pillai (CRC),2019-2019,3,3,0,14,6,4.66,27,51.85,0,0,0,1,0
1778,C Prasad (CRC),2019-2019,3,3,1,14,11,7.00,29,48.27,0,0,1,1,0
1779,Rakibul Hasan (ITA),2019-2019,8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0
1780,D Sabir (BMUDA),2021-2021,3,2,2,14,13*,-,13,107.69,0,0,0,2,0
1781,Saqlain Haider (UAE),2016-2016,6,5,1,14,7,3.50,35,40.00,0,0,0,0,0
1782,Shahzad Muhammad (Mex),2019-2019,2,1,0,14,14,14.00,7,200.00,0,0,0,1,1
1783,S Smith (BMUDA),2019-2019,5,3,3,14,7*,-,27,51.85,0,0,0,0,0
1784,S Varathappan (KUW),2019-2019,3,3,0,14,9,4.66,14,100.00,0,0,1,3,0
1785,S Vashisht (ROM),2019-2021,12,5,2,14,9*,4.66,17,82.35,0,0,1,1,0
1786,R Vishwanath (LUX),2019-2021,5,4,2,14,5,7.00,16,87.50,0,0,0,1,0
1787,VS Wategaonkar (OMA),2016-2016,2,1,0,14,14,14.00,14,100.00,0,0,0,1,0
1788,CM Wright (SCOT),2007-2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0
1789,AR Adams (NZ),2005-2006,4,2,1,13,7,13.00,12,108.33,0,0,0,1,0
1790,Ashish Rana (EST),2021-2021,4,3,2,13,8*,13.00,16,81.25,0,0,0,0,0
1791,KF Bakiweyem (Ghana),2021-2021,3,3,1,13,11*,6.50,27,48.14,0,0,1,0,0
1792,J Edness (BMUDA),2008-2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0
1793,CR Foggo (BMUDA),2008-2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0
1794,SP Gauchan (NEPAL),2014-2015,9,5,2,13,6*,4.33,43,30.23,0,0,2,0,0
1795,PA Hitchcock (NZ),2008-2008,1,1,0,13,13,13.00,11,118.18,0,0,0,1,1
1796,YYM Jakda (LES),2021-2021,6,6,0,13,6,2.16,15,86.66,0,0,3,1,1
1797,ST Kanakalil (MLT),2020-2020,3,1,1,13,13*,-,6,216.66,0,0,0,2,0
1798,SHT Kandamby (SL),2008-2011,5,4,0,13,10,3.25,21,61.90,0,0,1,0,0
1799,L Karlsson (SWE),2021-2021,7,3,1,13,13,6.50,18,72.22,0,0,1,1,0
1800,SKW Kelly (BMUDA),2008-2008,3,2,2,13,11*,-,24,54.16,0,0,0,0,0
1801,Z Khan (INDIA),2006-2012,17,4,2,13,9,6.50,10,130.00,0,0,0,0,1
1802,DB Loic (CAM),2021-2021,4,4,0,13,6,3.25,23,56.52,0,0,1,2,0
1803,JL Martel (GUE),2019-2019,3,1,1,13,13*,-,6,216.66,0,0,0,1,1
1804,P Masih (ROM),2020-2020,3,1,0,13,13,13.00,18,72.22,0,0,0,0,0
1805,Mohammad Rafique (BAN),2006-2006,1,1,0,13,13,13.00,5,260.00,0,0,0,3,0
1806,Muhammad Hamayun (Saudi),2019-2019,4,2,0,13,8,6.50,10,130.00,0,0,0,1,1
1807,R Ngarava (ZIM),2019-2021,18,6,4,13,11*,6.50,12,108.33,0,0,1,2,0
1808,HC Overdijk (NED),2018-2019,4,1,0,13,13,13.00,7,185.71,0,0,0,2,0
1809,A Rangaswamy (BOT),2019-2021,8,5,1,13,7,3.25,16,81.25,0,0,2,0,1
1810,CMW Read (ENG),2006-2006,1,1,0,13,13,13.00,11,118.18,0,0,0,2,0
1811,EB Ringera (KENYA),2019-2021,13,6,0,13,8,2.16,26,50.00,0,0,0,0,0
1812,OFJ Tonuu (Samoa),2019-2019,4,3,1,13,6*,6.50,18,72.22,0,0,0,0,0
1813,Usman Mushtaq (UAE),2016-2016,3,2,1,13,9,13.00,24,54.16,0,0,0,1,0
1814,J Anderson (IRE),2015-2015,4,2,0,12,9,6.00,18,66.66,0,0,0,1,0
1815,Arslan Ahmed (PORT),2019-2019,3,3,0,12,11,4.00,32,37.50,0,0,1,1,0
1816,Asad Mohammad (GER),2019-2021,11,4,1,12,5,4.00,12,100.00,0,0,0,2,0
1817,Avi Dixit (SGP),2019-2019,1,1,1,12,12*,-,8,150.00,0,0,0,0,1
1818,HMCM Bandara (SL),2006-2009,4,3,1,12,7,6.00,15,80.00,0,0,0,0,0
1819,L Canessane (Fran),2021-2021,2,2,1,12,10,12.00,9,133.33,0,0,0,1,0
1820,Fazal Niazai (AFG),2019-2019,1,1,0,12,12,12.00,15,80.00,0,0,0,1,0
1821,CJ Gannon (USA),2019-2019,4,3,2,12,7*,12.00,9,133.33,0,0,0,0,1
1822,R Gaznavi (SGP),2019-2020,5,3,0,12,8,4.00,12,100.00,0,0,1,2,0
1823,H Helva (TKY),2019-2019,4,4,0,12,7,3.00,25,48.00,0,0,2,2,0
1824,HJH Marshall (NZ),2005-2006,3,3,0,12,8,4.00,14,85.71,0,0,0,0,0
1825,D Mejia (CRC),2019-2019,3,1,0,12,12,12.00,10,120.00,0,0,0,2,0
1826,Mohammad Kamran (ESP),2022-2022,4,3,1,12,7,6.00,16,75.00,0,0,0,1,0
1827,Mujeeb Ur Rahman (AFG),2018-2022,23,5,4,12,8*,12.00,13,92.30,0,0,0,2,0
1828,Nader Zahadiafzal (Iran),2020-2020,3,3,0,12,12,4.00,24,50.00,0,0,2,2,0
1829,Naveed Shahid (Fin),2021-2021,4,1,1,12,12*,-,7,171.42,0,0,0,2,0
1830,SF Nhavotso (MOZ),2021-2021,4,3,0,12,5,4.00,26,46.15,0,0,0,0,0
1831,NV Ojha (INDIA),2010-2010,2,2,0,12,10,6.00,27,44.44,0,0,0,2,0
1832,A Patel (MWI),2019-2019,2,2,1,12,6*,12.00,23,52.17,0,0,0,2,0
1833,M Patel (Chile),2019-2019,3,3,0,12,8,4.00,15,80.00,0,0,1,1,1
1834,KOA Powell (WI),2014-2014,1,1,0,12,12,12.00,14,85.71,0,0,0,1,0
1835,Raag Kapur (HKG),2019-2019,4,3,1,12,6,6.00,16,75.00,0,0,0,1,0
1836,NA Saini (INDIA),2019-2021,11,3,3,12,11*,-,11,109.09,0,0,0,2,0
1837,MM Sarwar (KUW),2019-2021,7,4,1,12,8,4.00,12,100.00,0,0,1,0,1
1838,BM Scholtz (NAM),2019-2022,30,7,5,12,6*,6.00,24,50.00,0,0,2,0,0
1839,O Stewart (Bhm),2021-2021,5,5,0,12,12,2.40,12,100.00,0,0,4,1,1
1840,KK Tillett (Blz),2021-2021,5,3,0,12,9,4.00,23,52.17,0,0,1,1,0
1841,Umair Qasim (),2021-2021,6,5,0,12,7,2.40,21,57.14,0,0,1,1,0
1842,Zulfiqar Ali Shah (PORT),2021-2021,1,1,0,12,12,12.00,9,133.33,0,0,0,0,1
1843,Ahmadullah Shinwari (NOR),2021-2022,5,3,0,11,7,3.66,16,68.75,0,0,1,0,0
1844,Ali Ivan (Mald),2019-2019,1,1,0,11,11,11.00,39,28.20,0,0,0,0,0
1845,Apon Mustafizur (SRB),2019-2021,4,4,0,11,11,2.75,37,29.72,0,0,3,2,0
1846,Atif Kamal (LUX),2019-2021,8,3,0,11,11,3.66,18,61.11,0,0,2,1,0
1847,A Bulow (DEN),2019-2019,2,1,0,11,11,11.00,13,84.61,0,0,0,0,1
